country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
US,0,1,0,0,0,0,0,22.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Cabernet Sauvignon,2011.0,2
Spain,0,0,0,0,0,0,0,120.0,Northern Spain,Rioja,Michael Schachner,Graciano,2008.0,1
US,0,0,0,0,0,1,0,49.0,California,Sonoma Coast,Roger Voss,Pinot Noir,2008.0,1
US,0,0,0,0,0,0,0,15.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Merlot,2012.0,2
Argentina,0,0,0,0,0,0,0,12.0,Other,Cafayate,Michael Schachner,Torrontés,2013.0,1
France,0,0,0,0,0,0,0,25.0,Southwest France,Cahors,Roger Voss,Malbec,2006.0,3
Chile,0,0,1,0,0,0,0,25.0,Aconcagua Valley,Napa Valley,Michael Schachner,Pinot Noir,2011.0,1
US,0,0,0,0,0,0,0,19.0,Washington,Columbia Valley (WA),Paul Gregutt,Chardonnay,2011.0,2
France,0,0,0,0,0,0,0,25.0,Alsace,Alsace,Roger Voss,Pinot Gris,2010.0,3
US,0,0,1,0,0,0,0,65.0,California,Russian River Valley,Virginie Boone,Pinot Noir,2012.0,3
US,0,1,0,0,0,0,0,19.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Rosé,2016.0,0
Germany,0,0,0,0,0,1,0,365.0,Rheingau,Napa Valley,Anna Lee C. Iijima,Riesling,2012.0,4
France,0,1,0,0,0,0,0,40.0,Champagne,Champagne,Roger Voss,Chardonnay,2011.0,3
France,1,0,1,0,0,0,0,25.0,Bordeaux,Médoc,Roger Voss,Bordeaux-style Red Blend,2008.0,2
Italy,0,0,1,0,0,0,0,25.0,Piedmont,Langhe,Kerin O’Keefe,Nebbiolo,2013.0,2
France,0,1,0,0,0,0,0,90.0,Alsace,Alsace,Anne Krebiehl MW,Riesling,2014.0,3
US,0,1,1,0,0,0,0,38.0,California,Russian River Valley,Roger Voss,Pinot Noir,2009.0,2
Austria,0,0,0,0,0,0,0,25.0,Thermenregion,Napa Valley,Anne Krebiehl MW,Rotgipfler,2012.0,2
Italy,1,0,0,1,1,0,1,35.0,Lombardy,Franciacorta,Roger Voss,Sparkling Blend,2006.0,3
Italy,1,0,1,0,0,0,1,32.0,Tuscany,Bolgheri,Kerin O’Keefe,Red Blend,2012.0,2
